Date,SPX,TPX,SX5E
2020/3/4,3130.12,1718.92,2586.02
2020/3/3,3003.37,1719.64,2545.23
2020/3/2,3090.23,1732.14,2905.56
2020/2/28,2954.22,1736.98,2910.02
2020/2/27,2978.76,1701.83,2959.07
2020/2/26,3116.39,1684.24,3232.07
2020/2/25,3128.21,1672.66,3363.58
2020/2/24,3225.89,1684.44,3420.56
2020/2/21,3337.75,1674.77,3371.97
2020/2/20,3373.23,1699.95,3338.83
2020/2/19,3386.15,1692.28,3329.49
2020/2/18,3370.29,1702.57,3455.92
2020/2/14,3380.16,1730.44,3577.68
2020/2/13,3373.94,1730.5,3572.51
2020/2/12,3379.45,1744.13,3647.98
2020/2/11,3357.75,1734.97,3800.38
2020/2/10,3352.09,1744.16,3822.98
2020/2/7,3327.71,1735.44,3865.18
2020/2/6,3345.78,1728.72,3836.54
2020/2/5,3334.69,1731.06,3853.27
2020/2/4,3297.59,1740.53,3840.97
2020/2/3,3248.92,1735.16,3846.74
2020/1/31,3225.52,1729.05,3854.43
2020/1/30,3283.66,1701.4,3825.84
2020/1/29,3273.4,1725.05,3793.18
2020/1/28,3276.24,1697.49,3798.49
2020/1/27,3243.63,1721.36,3805.52
2020/1/24,3295.47,1733.18,3777.84
2020/1/23,3325.54,1731.2,3732.28
2020/1/22,3321.75,1721.42,3661.27
2020/1/21,3320.79,1728.22,3640.91
2020/1/17,3329.62,1729.42,3690.78
2020/1/16,3316.81,1733.07,3736.36
2020/1/15,3289.29,1736.11,3719.22
2020/1/14,3283.15,1738.4,3677.84
2020/1/13,3288.13,1747.2,3779.16
2020/1/10,3265.35,1736.87,3736.85
2020/1/9,3274.7,1739.98,3769.79
2020/1/8,3253.05,1712.83,3789.12
2020/1/7,3237.18,1714.95,3799.03
2020/1/6,3246.28,1720.77,3808.26
2020/1/3,3234.85,1722.07,3774.14
2020/1/2,3257.85,1713.36,3768.96
2019/12/31,3230.78,1711.41,3774.88
2019/12/30,3221.29,1703.27,3779.68
2019/12/27,3240.02,1706.73,3789.52
2019/12/26,3239.91,1714.49,3795.88
2019/12/24,3223.38,1699.36,3772.56
2019/12/23,3224.01,1708.06,3759.25
2019/12/20,3221.22,1710.98,3752.52
2019/12/19,3205.37,1705.71,3773.37
2019/12/18,3191.14,1702.96,3793.24
2019/12/17,3192.52,1691.34,3745.15
2019/12/16,3191.45,1689.38,3748.47
2019/12/13,3168.8,1691.11,3782.27
2019/12/12,3168.57,1696.73,3774.39
2019/12/11,3141.63,1700.72,3776.66
2019/12/10,3132.52,1696.67,3776.56
2019/12/9,3135.96,1684.4,3739.17
2019/12/6,3145.91,1700.33,3739
2019/12/5,3117.43,1709.67,3745.28
2019/12/4,3112.76,1704.03,3772.74
2019/12/3,3093.2,1702.77,3731.07
2019/12/2,3113.87,1698.13,3706.35
2019/11/29,3140.98,1694.45,3687.45
2019/11/27,3153.63,1694.16,3671.78
2019/11/26,3140.52,1666.5,3672.18
2019/11/25,3133.64,1667.01,3692.34
2019/11/22,3110.29,1665.9,3648.13
2019/11/21,3103.54,1662.68,3660.02
2019/11/20,3108.46,1648.43,3610.99
2019/11/19,3120.18,1648.44,3626.66
2019/11/18,3122.03,1643.74,3703.58
2019/11/15,3120.46,1638.14,3704.48
2019/11/14,3096.63,1628.6,3712.85
2019/11/13,3094.04,1621.99,3705.55
2019/11/12,3091.84,1624.16,3707.68
2019/11/11,3087.01,1631.51,3687.32
2019/11/8,3093.08,1620.2,3679.66
2019/11/7,3085.18,1595.27,3683.88
2019/11/6,3076.78,1581.42,3696.56
2019/11/5,3074.62,1581.7,3704.92
2019/11/4,3078.27,1586.5,3711.61
2019/11/1,3066.91,1572.75,3688.81
2019/10/31,3037.56,1572.9,3699.5
2019/10/30,3046.77,1568.87,3712.2
2019/10/29,3036.89,1596.29,3696.82
2019/10/28,3039.42,1603,3699.65
2019/10/25,3022.55,1587.8,3706.68
2019/10/24,3010.29,1604.25,3688.74
2019/10/23,3004.52,1623.27,3676.52
2019/10/22,2995.99,1620.08,3665.21
2019/10/21,3006.72,1622.94,3623.74
2019/10/18,2986.2,1616.23,3604.41
2019/10/17,2997.95,1615.66,3620.29
2019/10/16,2989.69,1606.62,3622.09
2019/10/15,2995.68,1614.58,3625.69
2019/10/14,2966.15,1609.87,3624.68
2019/10/11,2970.27,1595.1,3621.37
2019/10/10,2938.13,1583.66,3606.89
2019/10/9,2919.4,1557.99,3604.82
2019/10/8,2893.06,1551.11,3600.08
2019/10/7,2938.79,1537.1,3579.41
2019/10/4,2952.01,1534.46,3588.62
2019/10/3,2910.63,1506.81,3599.25
2019/10/2,2887.61,1510.79,3598.65
2019/10/1,2940.25,1505.21,3556.26
2019/9/30,2976.74,1511.86,3569.92
2019/9/27,2961.79,1490.17,3493.96
2019/9/26,2977.62,1490.35,3462.11
2019/9/25,2984.87,1489.69,3432.76
2019/9/24,2966.6,1478.03,3471.24
2019/9/23,2991.78,1502.25,3446.71
2019/9/20,2992.07,1498.06,3417.37
2019/9/19,3006.79,1497.51,3413.31
2019/9/18,3006.73,1506.77,3518.25
2019/9/17,3005.7,1494.33,3569.45
2019/9/16,2997.96,1485.29,3545.88
2019/9/13,3007.39,1483.85,3532.18
2019/9/12,3009.57,1499.5,3513.03
2019/9/11,3000.93,1486.57,3532.05
2019/9/10,2979.39,1503.84,3536.97
2019/9/9,2978.43,1498.66,3571.39
2019/9/6,2978.71,1499.93,3552.65
2019/9/5,2976,1499.23,3528.04
2019/9/4,2937.78,1505.88,3521.26
2019/9/3,2906.27,1533.46,3518.45
2019/8/30,2926.46,1567.35,3550.11
2019/8/29,2924.58,1565.14,3538.86
2019/8/28,2887.94,1575.58,3516.82
2019/8/27,2869.16,1568.57,3498.99
2019/8/26,2878.38,1571.52,3495.02
2019/8/23,2847.11,1577.85,3495.19
2019/8/22,2922.95,1575.09,3484.7
2019/8/21,2924.43,1568.82,3450.83
2019/8/20,2900.51,1556.37,3420.74
2019/8/19,2923.65,1563.96,3432.54
2019/8/16,2888.68,1534.27,3426.76
2019/8/15,2847.6,1567.41,3411.33
2019/8/14,2840.6,1568.74,3365.38
2019/8/13,2926.32,1576.31,3370.47
2019/8/12,2883.75,1578.63,3348.84
2019/8/9,2918.65,1571.32,3334.25
2019/8/8,2938.09,1574.89,3373.67
2019/8/7,2883.98,1578.4,3394.89
2019/8/6,2881.77,1592.58,3350.23
2019/8/5,2844.74,1589.78,3369.19
2019/8/2,2932.05,1579.54,3329.08
2019/8/1,2953.56,1589.84,3282.78
2019/7/31,2980.38,1584.85,3288.7
2019/7/30,3013.18,1551.14,3357.16
2019/7/29,3020.97,1553.27,3326.55
2019/7/26,3025.86,1534.34,3333.74
2019/7/25,3003.67,1543.49,3375.38
2019/7/24,3019.56,1547.74,3309.99
2019/7/23,3005.47,1545.9,3291.66
2019/7/22,2985.03,1559.9,3310.93
2019/7/19,2976.61,1555.27,3376.12
2019/7/18,2995.11,1528.67,3490.03
2019/7/17,2984.42,1539.74,3466.85
2019/7/16,3004.04,1546.71,3462.85
2019/7/15,3014.3,1541.5,3523.58
2019/7/12,3013.77,1554.22,3524.47
2019/7/11,2999.91,1561.32,3510.15
2019/7/10,2993.07,1552.94,3532.9
2019/7/9,2979.63,1532.39,3532.87
2019/7/8,2975.95,1524.91,3489.92
2019/7/5,2990.41,1530.08,3480.18
2019/7/3,2995.82,1499.09,3482.83
2019/7/2,2973.01,1498.96,3501.58
2019/7/1,2964.33,1512.28,3521.36
2019/6/28,2941.76,1531.98,3502.22
2019/6/27,2924.92,1536.41,3497.63
2019/6/26,2913.78,1550.99,3496.73
2019/6/25,2917.38,1547,3501.52
2019/6/24,2945.35,1541.21,3509.75
2019/6/21,2950.46,1540.58,3523.76
2019/6/20,2954.18,1546.21,3527.98
2019/6/19,2926.46,1550.3,3544.15
2019/6/18,2917.75,1554.92,3540.63
2019/6/17,2889.67,1554.25,3507.98
2019/6/14,2886.98,1537.55,3497.59
2019/6/13,2891.64,1544.15,3473.69
2019/6/12,2879.84,1534.98,3442.38
2019/6/11,2885.72,1541.14,3442.95
2019/6/10,2886.73,1549.42,3444.36
2019/6/7,2873.34,1550.71,3455.57
2019/6/6,2843.49,1572.33,3466.92
2019/6/5,2826.15,1599.84,3468.08
2019/6/4,2803.27,1617.93,3454.7
2019/6/3,2744.45,1620.28,3452.89
2019/5/31,2752.06,1612.05,3383.21
2019/5/30,2788.86,1622.97,3379.19
2019/5/29,2783.02,1618.62,3390.5
2019/5/28,2802.39,1616.93,3386.63
2019/5/24,2826.06,1614.97,3401.1
2019/5/23,2822.24,1630.68,3386.45
2019/5/22,2856.27,1626.46,3378.38
2019/5/21,2864.36,1627.93,3338.41
2019/5/20,2840.23,1605.4,3339.95
2019/5/17,2859.53,1606.52,3333.49
2019/5/16,2876.32,1607.66,3300.22
2019/5/15,2850.96,1618.76,3280.43
2019/5/14,2834.41,1620.14,3318.15
2019/5/13,2811.87,1625.75,3297.81
2019/5/10,2881.4,1620.05,3348.86
