,Date,SX5E,Value
337,1991/5/3,-1.8122000424777616,-0.037284806
338,1991/5/6,-1.8236845222275184,-0.037148803
339,1991/5/7,-1.8168406302204476,-0.03710346
340,1991/5/8,-1.817747299674376,-0.037058145
341,1991/5/9,-1.8182347563700363,-0.03701277
342,1991/5/10,-1.8238112609683903,-0.03696753
343,1991/5/13,-1.828237367764986,-0.036831602
344,1991/5/14,-1.8364363893859927,-0.036786288
345,1991/5/15,-1.834701043549442,-0.036741048
346,1991/5/16,-1.8285785874519482,-0.03669575
347,1991/5/17,-1.8199408548048475,-0.036650524
348,1991/5/20,-1.8195898859839719,-0.03651476
349,1991/5/21,-1.8171233551039307,-0.036469534
350,1991/5/22,-1.811946564996018,-0.03642425
351,1991/5/23,-1.8215494619005264,-0.036379054
352,1991/5/24,-1.8339308619702988,-0.0363338
353,1991/5/28,-1.8322540109372272,-0.036152974
354,1991/5/29,-1.8215202144987868,-0.03610775
355,1991/5/30,-1.8215202144987868,-0.036062583
356,1991/5/31,-1.8199701022065868,-0.036017403
357,1991/6/3,-1.812268286415154,-0.03588189
358,1991/6/4,-1.8014759951732344,-0.035836697
359,1991/6/5,-1.7984050179905744,-0.03579159
360,1991/6/6,-1.7944761170235521,-0.03574641
361,1991/6/7,-1.7972351219209894,-0.03570129
362,1991/6/10,-1.7844637564946892,-0.035565868
363,1991/6/11,-1.7861211092599343,-0.035520747
364,1991/6/12,-1.7944761170235521,-0.0354757
365,1991/6/13,-1.7941056499348504,-0.035430595
366,1991/6/14,-1.77850703567372,-0.035385445
367,1991/6/17,-1.776157494400637,-0.035250217
368,1991/6/18,-1.770142278776189,-0.03520514
369,1991/6/19,-1.7492206373984478,-0.035160065
370,1991/6/20,-1.7488891668453987,-0.035115033
371,1991/6/21,-1.7541731974263568,-0.035069898
372,1991/6/24,-1.7506537600836891,-0.03493479
373,1991/6/25,-1.7457694439931728,-0.034889758
374,1991/6/26,-1.7529350574193794,-0.03484477
375,1991/6/27,-1.7595352210786204,-0.03479971
376,1991/6/28,-1.758960022177741,-0.03475468
377,1991/7/1,-1.7435368923270484,-0.034619644
378,1991/7/2,-1.7441023420940145,-0.034574643
379,1991/7/3,-1.74776801644538,-0.034529626
380,1991/7/5,-1.7483822118819121,-0.034439698
381,1991/7/8,-1.7538417268733077,-0.034304798
382,1991/7/9,-1.7430201882296485,-0.03425981
383,1991/7/10,-1.7550506194785453,-0.034214884
384,1991/7/11,-1.7417430516870187,-0.034169942
385,1991/7/12,-1.7453307329670784,-0.03412503
386,1991/7/15,-1.7381456212730453,-0.033992812
387,1991/7/16,-1.756844460118575,-0.03395079
388,1991/7/17,-1.7527985695445947,-0.03390874
389,1991/7/18,-1.7530910435619909,-0.03386675
390,1991/7/19,-1.7485381980245234,-0.033824727
391,1991/7/22,-1.7504197808697721,-0.033698708
392,1991/7/23,-1.7519503948941455,-0.03365673
393,1991/7/24,-1.7375899206399925,-0.03361474
394,1991/7/25,-1.7418210447583242,-0.033572808
395,1991/7/26,-1.7326471097459968,-0.033530816
396,1991/7/29,-1.733495284396446,-0.033404917
397,1991/7/30,-1.725803217738926,-0.03336297
398,1991/7/31,-1.7341484763686306,-0.033321008
399,1991/8/1,-1.7178966701353156,-0.03327906
400,1991/8/2,-1.7121349319926105,-0.033237174
401,1991/8/5,-1.7181209002153193,-0.03311138
402,1991/8/6,-1.7166097844587722,-0.033069447
403,1991/8/7,-1.7148939368900478,-0.033027545
404,1991/8/8,-1.7097658924517012,-0.032985643
405,1991/8/9,-1.7156348710674516,-0.032943755
406,1991/8/12,-1.718481618170108,-0.032818034
407,1991/8/13,-1.7173799660379157,-0.032776102
408,1991/8/14,-1.7167462723335571,-0.03273432
409,1991/8/15,-1.7218743167719037,-0.032692403
410,1991/8/16,-1.7290984250015897,-0.032650515
411,1991/8/19,-1.7320914091129442,-0.03252496
412,1991/8/20,-1.732978580299046,-0.032483116
413,1991/8/21,-1.731847680765114,-0.032441244
414,1991/8/22,-1.733972991958193,-0.03239949
415,1991/8/23,-1.7368782338643285,-0.03235759
416,1991/8/26,-1.7293616516172463,-0.03223218
417,1991/8/27,-1.7429421951583428,-0.032190338
418,1991/8/28,-1.7431176795687806,-0.03214854
419,1991/8/29,-1.741294591527011,-0.032106742
420,1991/8/30,-1.7377751541843434,-0.03206496
