t,H=0.9,H=0.8,H=0.7
0.581,0.961372588,1.01397037,0.980441892
0.582,0.961439091,1.014611413,0.979827267
0.583,0.961318462,1.014811263,0.979461631
0.584,0.961320456,1.014738059,0.978645079
0.585,0.961238813,1.014645116,0.977574913
0.586,0.961138405,1.014898992,0.977366263
0.587,0.960919294,1.014512942,0.977626241
0.588,0.960718536,1.014499973,0.978243736
0.589,0.960349768,1.014627798,0.979247902
0.59,0.960025484,1.014403162,0.97900472
0.591,0.959814301,1.014295282,0.978061889
0.592,0.959545339,1.013816761,0.978207976
0.593,0.959293522,1.0129449,0.977620528
0.594,0.958952326,1.012423314,0.977220536
0.595,0.958663712,1.012219802,0.976335513
0.596,0.958482602,1.012397159,0.976594919
0.597,0.958040213,1.012024372,0.975798675
0.598,0.957857569,1.011824249,0.976628322
0.599,0.957688117,1.011691483,0.977910935
0.6,0.957482808,1.011848429,0.977800287
0.601,0.957346017,1.011635012,0.977394489
0.602,0.957278168,1.011794943,0.97779706
0.603,0.957083488,1.011817047,0.97776176
0.604,0.957014044,1.011892571,0.978395007
0.605,0.956977299,1.011819682,0.978094382
0.606,0.956872277,1.01185728,0.978400665
0.607,0.956712681,1.011675302,0.977649935
0.608,0.9564693,1.011207343,0.976653387
0.609,0.956250419,1.010456482,0.975436836
0.61,0.956207464,1.010697664,0.975883731
0.611,0.956274445,1.010964767,0.975940654
0.612,0.956210926,1.010910673,0.976412282
0.613,0.956068993,1.011388543,0.975851369
0.614,0.95602961,1.011737582,0.973881945
0.615,0.955912801,1.011665964,0.974632125
0.616,0.955675751,1.011188655,0.974944323
0.617,0.955510412,1.010670363,0.976946553
0.618,0.955439339,1.010292261,0.976613439
0.619,0.955277571,1.01010288,0.977325401
0.62,0.954949661,1.010302603,0.976648006
0.621,0.954571319,1.009827226,0.976818907
0.622,0.954125684,1.010008868,0.976121161
0.623,0.953907648,1.009453904,0.976137149
0.624,0.953567751,1.009227608,0.975219457
0.625,0.953300587,1.009140425,0.976891951
0.626,0.952866081,1.008799062,0.977750501
0.627,0.952638006,1.008238908,0.977893916
0.628,0.952370802,1.008183174,0.978549793
0.629,0.952148693,1.007377635,0.979219306
0.63,0.951992526,1.006999194,0.97957781
0.631,0.951873007,1.00670954,0.980317322
0.632,0.95178948,1.006109892,0.980840128
